text,canonical_form_1,category_1,severity_rating,severity_description
penisfucker,fuck,sexual anatomy / sexual acts,3,severe
penisfuckers,fuck,sexual anatomy / sexual acts,3,severe
penisfvcker,penis,sexual anatomy / sexual acts,3,severe
penisfvckers,penis,sexual anatomy / sexual acts,2.8,severe
penishead,penis,sexual anatomy / sexual acts,1.4,mild
peter,peter puffer,sexual anatomy / sexual acts,1,mild
peter puffer,peter puffer,sexual orientation / gender,1.8,strong
ph@ggots,faggot,sexual orientation / gender,2.8,severe
phaggot,faggot,sexual orientation / gender,2.8,severe
phaggots,faggot,sexual orientation / gender,3,severe
phagot,faggot,sexual orientation / gender,3,severe
phags,faggot,sexual orientation / gender,3,severe
phuc,fuck,sexual anatomy / sexual acts,2,strong
phucc,fuck,sexual anatomy / sexual acts,2,strong
phuccer,fuck,sexual anatomy / sexual acts,2.2,strong
phucchead,fuck,sexual anatomy / sexual acts,2,strong
phuccing,fuck,sexual anatomy / sexual acts,1.8,strong
phuck,fuck,sexual anatomy / sexual acts,2.2,strong
phuck3r,fuck,sexual anatomy / sexual acts,1.8,strong
phucked,fuck,sexual anatomy / sexual acts,2,strong
phucker,fuck,sexual anatomy / sexual acts,2.2,strong
phuckin,fuck,sexual anatomy / sexual acts,2,strong
phucking,fuck,sexual anatomy / sexual acts,2.4,strong
phuckings,fuck,sexual anatomy / sexual acts,2.4,strong
phucks,fuck,sexual anatomy / sexual acts,2,strong
phucup,fuck,sexual anatomy / sexual acts,1.8,strong
phuk,fuck,sexual anatomy / sexual acts,2,strong
phuked,fuck,sexual anatomy / sexual acts,2.2,strong
phukeds,fuck,sexual anatomy / sexual acts,2,strong
phukhead,fuck,sexual anatomy / sexual acts,2.4,strong
phuking,fuck,sexual anatomy / sexual acts,2.2,strong
phukings,fuck,sexual anatomy / sexual acts,2.2,strong
phukk,fuck,sexual anatomy / sexual acts,1.8,strong
phukked,fuck,sexual anatomy / sexual acts,2,strong
phukkeds,fuck,sexual anatomy / sexual acts,2,strong
phukker,fuck,sexual anatomy / sexual acts,2.2,strong
phukking,fuck,sexual anatomy / sexual acts,1.8,strong
phuks,fuck,sexual anatomy / sexual acts,2.2,strong
phukshit,fuck,sexual anatomy / sexual acts,2.2,strong
phuku,fuck,sexual anatomy / sexual acts,2.2,strong
phukup,fuck,sexual anatomy / sexual acts,1.8,strong
phuq,fuck,sexual anatomy / sexual acts,2.2,strong
phuqs,fuck,sexual anatomy / sexual acts,1.8,strong
phvckings,fuck,sexual anatomy / sexual acts,2.2,strong
pig fucker,fuck,sexual anatomy / sexual acts,2.8,severe
pigfucker,fuck,sexual anatomy / sexual acts,2.6,severe
pigfuckers,fuck,sexual anatomy / sexual acts,3,severe
pigfucking,fuck,sexual anatomy / sexual acts,2.6,severe
pigfukker,fuck,sexual anatomy / sexual acts,2.8,severe
piggyfuck,fuck,sexual anatomy / sexual acts,3,severe
pigshit,shit,bodily fluids / excrement,1.4,mild
pillow biter,pillow biter,sexual anatomy / sexual acts,2.4,strong
pillow-biter,pillow biter,sexual orientation / gender,1.6,strong
piss face,piss,bodily fluids / excrement,1.4,mild
piss off fuckhead,fuck,sexual anatomy / sexual acts,3,severe
piss shit,piss,bodily fluids / excrement,1.4,mild
pissoff,piss,bodily fluids / excrement,1.2,mild
pissoffs,piss,bodily fluids / excrement,1.4,mild
pole licker,pole licker,sexual anatomy / sexual acts,2.2,strong
pole smoker,pole smoker,sexual anatomy / sexual acts,2,strong
pole sucker,pole sucker,sexual anatomy / sexual acts,1.8,strong
polesmoker,polesmoker,sexual anatomy / sexual acts,2.2,strong
porch monkey,porch monkey,racial / ethnic slurs,3,severe
prick,prick,sexual anatomy / sexual acts,1,mild
prick-face,prick,sexual anatomy / sexual acts,1.2,mild
prick-gobbler,prick,sexual anatomy / sexual acts,2.2,strong
prick-head,prick,sexual anatomy / sexual acts,1.8,strong
pricks,prick,sexual anatomy / sexual acts,1,mild
pu$sy,pussy,sexual anatomy / sexual acts,1.6,strong
pu55y,pussy,sexual anatomy / sexual acts,1.6,strong
pull the pud,pull the pud,sexual anatomy / sexual acts,1.2,mild
punani,punani,sexual anatomy / sexual acts,1.8,strong
punk ass mofoes,motherfucker,sexual anatomy / sexual acts,2.8,severe
punkasses,ass,other / general insult,1.2,mild
puss,pussy,sexual anatomy / sexual acts,1.4,mild
pusses,pussy,sexual anatomy / sexual acts,1.4,mild
pussie,pussy,sexual anatomy / sexual acts,2,strong
pussies,pussy,sexual anatomy / sexual acts,1,mild
pussless,pussy,sexual anatomy / sexual acts,2,strong
pusslicker,pussy,sexual anatomy / sexual acts,2.2,strong
pussy,pussy,sexual anatomy / sexual acts,1.4,mild
pussy cat,pussy,sexual anatomy / sexual acts,1.4,mild
pussy fucker,fuck,sexual anatomy / sexual acts,2.8,severe
pussy lick,pussy,sexual anatomy / sexual acts,2.4,strong
pussy licker,pussy,sexual anatomy / sexual acts,2.4,strong
pussy licking,pussy,sexual anatomy / sexual acts,2.4,strong
pussylickers,pussy,sexual anatomy / sexual acts,2.8,severe
pussys,pussy,sexual anatomy / sexual acts,2,strong
pussywhipped,pussy,sexual anatomy / sexual acts,1.8,strong
puta,punta,sexual orientation / gender,1.8,strong
puussy,pussy,sexual anatomy / sexual acts,1.4,mild
puzzies,pussy,sexual anatomy / sexual acts,1.4,mild
puzzy,pussy,sexual anatomy / sexual acts,1.2,mild
queerasses,queer,sexual orientation / gender,3,severe
queers,queer,sexual orientation / gender,1.8,strong
r3t@rd,retard,mental disability,2.8,severe
r3t@rded,retarded,mental disability,2.8,severe
r3tard,retard,mental disability,2.6,severe
raghead,raghead,racial / ethnic slurs,3,severe
ragheads,raghead,racial / ethnic slurs,2.6,severe
ragtard,retard,racial / ethnic slurs,3,severe
ramrod,ramrod,sexual anatomy / sexual acts,1,mild
rat bastard,bastard,other / general insult,1.6,strong
rat baztad,bastard,animal references,1.8,strong
reacharound,reacharound,sexual anatomy / sexual acts,1.2,mild
rectum,rectum,sexual anatomy / sexual acts,1,mild
redskin,redskin,racial / ethnic slurs,2.2,strong
retard,retard,mental disability,2.8,severe
retardo,retard,physical disability,2.6,severe
retardotron,retard,mental disability,1.8,strong
rice monkey,monkey,racial / ethnic slurs,3,severe
rim job,rim job,sexual anatomy / sexual acts,2,strong
s_h_i_,shit,bodily fluids / excrement,1.2,mild
s_h_i_s,shit,bodily fluids / excrement,1,mild
s-lut,slut,sexual orientation / gender,1.8,strong
s.o.b.,bitch,other / general insult,1.2,mild
s.o.b.s,bitch,other / general insult,1.6,strong
s/h/i/t,shit,bodily fluids / excrement,1,mild
s&m,sadomasochism,sexual anatomy / sexual acts,1,mild
sack,ballsack,sexual anatomy / sexual acts,1,mild
salad tosser,salad tosser,sexual anatomy / sexual acts,2,strong
sambo,sambo,racial / ethnic slurs,2.2,strong
sand nigger,nigger,racial / ethnic slurs,3,severe
sausage jockey,sausage jockey,sexual anatomy / sexual acts,2.6,severe
scamfuck,fuck,sexual anatomy / sexual acts,2.4,strong
schlong,schlong,sexual anatomy / sexual acts,1,mild
scumfuck,fuck,sexual anatomy / sexual acts,2.8,severe
scumfucker,fuck,sexual anatomy / sexual acts,2.8,severe
scumfvck,fuck,sexual anatomy / sexual acts,2.4,strong
scummy,scum,other / general insult,1.2,mild
scut,scut,other / general insult,1,mild
sh! +,shit,bodily fluids / excrement,1.2,mild
sh!+,shit,bodily fluids / excrement,1,mild
sh1s,shit,bodily fluids / excrement,1,mild
sh1t,shit,bodily fluids / excrement,1.2,mild
sh1t3,shit,bodily fluids / excrement,1,mild
sh1td1ck,shit,bodily fluids / excrement,2,strong
sh1tdick,shit,sexual anatomy / sexual acts,2.4,strong
sh1te,shit,bodily fluids / excrement,1,mild
sh1tfuck,fuck,other / general insult,2.6,severe
sh1th3ad,shit,bodily fluids / excrement,2,strong
sh1theads,shit,bodily fluids / excrement,2,strong
sh1ts,shit,bodily fluids / excrement,1,mild
sh1tsome,shit,bodily fluids / excrement,1.2,mild
sh1tt,shit,bodily fluids / excrement,1,mild
sh1tty,shit,bodily fluids / excrement,1.2,mild
sh3mal3,shemale,sexual orientation / gender,2.6,severe
sh3male,shemale,sexual orientation / gender,2.4,strong
shat,shit,bodily fluids / excrement,1.2,mild
she-male,shemale,sexual orientation / gender,2.8,severe
sheeeet,shit,bodily fluids / excrement,1,mild
sheet,shit,bodily fluids / excrement,1,mild
sheister,shit,racial / ethnic slurs,2,strong
shemal3,shemale,sexual orientation / gender,1.8,strong
shemale,shemale,sexual orientation / gender,2.6,severe
shemales,shemale,sexual orientation / gender,1.8,strong
shet,shit,bodily fluids / excrement,1,mild
shi+,shit,bodily fluids / excrement,1,mild
shi+e,shit,bodily fluids / excrement,1,mild
shi+y,shit,bodily fluids / excrement,1,mild
shiat,shit,bodily fluids / excrement,1,mild
shiddick,shit,sexual anatomy / sexual acts,2,strong
shiester,shiester,racial / ethnic slurs,2,strong
shiesterfuck,fuck,sexual anatomy / sexual acts,2.2,strong
shiesterfuckface,fuck,sexual anatomy / sexual acts,2.8,severe
shiesterfuckhead,fuck,sexual anatomy / sexual acts,2.2,strong
shiesterfucks,fuck,sexual anatomy / sexual acts,2.4,strong
shipdit,shit,bodily fluids / excrement,1.4,mild
shit,shit,bodily fluids / excrement,1.2,mild
shit face,shit,bodily fluids / excrement,1.8,strong
shit for brains,shit,bodily fluids / excrement,1.6,strong
shit fuck,fuck,other / general insult,2.4,strong
shit fucker,fuck,sexual anatomy / sexual acts,2.8,severe
shit head,shit,bodily fluids / excrement,1.8,strong
shit licker,shit,bodily fluids / excrement,2,strong
shit stain,shit,bodily fluids / excrement,1.8,strong
shit-arse,shit,sexual anatomy / sexual acts,1.6,strong
shit-ass,shit,bodily fluids / excrement,2,strong
shit-bandit,shit,bodily fluids / excrement,1.6,strong
shit-fucker,fuck,sexual anatomy / sexual acts,2.6,severe
shit-stuffers,shit,sexual anatomy / sexual acts,1.8,strong
shit3,shit,bodily fluids / excrement,1,mild
shitass,shit,sexual anatomy / sexual acts,2,strong
shitasses,shit,sexual anatomy / sexual acts,2,strong
shitassfucker,fuck,sexual anatomy / sexual acts,2.6,severe
shitassfuckface,fuck,sexual anatomy / sexual acts,2.8,severe
shitbag,shit,bodily fluids / excrement,2,strong
shitbird,shit,bodily fluids / excrement,1.8,strong
shitblimp,shit,bodily fluids / excrement,1.6,strong
shitblimps,shit,bodily fluids / excrement,1.6,strong
shitbrain,shit,bodily fluids / excrement,2,strong
shitd1ck,shit,sexual anatomy / sexual acts,2,strong
shitdick,shit,sexual anatomy / sexual acts,2.4,strong
shitdicks,shit,sexual anatomy / sexual acts,2,strong
shitdikk,shit,bodily fluids / excrement,2,strong
shitdip,shit,bodily fluids / excrement,1.8,strong
shite,shit,bodily fluids / excrement,1,mild
shiteblimps,shit,bodily fluids / excrement,1.8,strong
shited,shit,bodily fluids / excrement,1.2,mild
shitedick,shit,sexual anatomy / sexual acts,2,strong
shitefuck,fuck,sexual anatomy / sexual acts,1.6,strong
shitefulls,shit,bodily fluids / excrement,1.8,strong
shitehead,shit,bodily fluids / excrement,1.8,strong
shites,shit,bodily fluids / excrement,1,mild
shitey,shit,bodily fluids / excrement,1.2,mild
shitface,shit,bodily fluids / excrement,2,strong
shitfaced,shit,bodily fluids / excrement,1.2,mild
shitfacefuck,fuck,sexual anatomy / sexual acts,2.8,severe
shitfacefucker,fuck,sexual anatomy / sexual acts,2.6,severe
shitfck,shit,sexual anatomy / sexual acts,2.4,strong
shitfk,shit,sexual anatomy / sexual acts,1.8,strong
shitfreak,shit,bodily fluids / excrement,2,strong
shitfuck,fuck,sexual anatomy / sexual acts,2.2,strong
shitfucker,fuck,sexual anatomy / sexual acts,2.4,strong
shitfuckhead,fuck,other / general insult,2.6,severe
shitfuckmotherfucker,motherfucker,sexual anatomy / sexual acts,2.8,severe
shitfucks,fuck,sexual anatomy / sexual acts,2.4,strong
shitfudgefucker,fuck,bodily fluids / excrement,2.6,severe
shitfvck,shit,sexual anatomy / sexual acts,2.2,strong
shithead,shit,bodily fluids / excrement,1.8,strong
shitheadfucker,fuck,sexual anatomy / sexual acts,2.8,severe
shitheadfuckface,fuck,sexual anatomy / sexual acts,2.4,strong
shitheads,shit,bodily fluids / excrement,1.8,strong
shithole,shit,sexual anatomy / sexual acts,1.8,strong
shits,shit,bodily fluids / excrement,1,mild
shitsdick,shit,sexual anatomy / sexual acts,1.8,strong
shitsfuck,fuck,sexual anatomy / sexual acts,2.2,strong
shitsful,shit,bodily fluids / excrement,1,mild
shittastic,shit,bodily fluids / excrement,1.2,mild
shittasticfuck,fuck,bodily fluids / excrement,2.2,strong
shitte,shit,bodily fluids / excrement,1,mild
shitted,shit,bodily fluids / excrement,1.2,mild
shitter,shit,bodily fluids / excrement,1,mild
shitterfucker,fuck,sexual anatomy / sexual acts,2.6,severe
shitti,shit,bodily fluids / excrement,1,mild
shitties,shit,bodily fluids / excrement,1,mild
shittiest,shit,bodily fluids / excrement,1.2,mild
shitting,shit,bodily fluids / excrement,1.4,mild
shittings,shit,bodily fluids / excrement,1.2,mild
shitty,shit,bodily fluids / excrement,1,mild
shitty mofoes,shit,bodily fluids / excrement,1.6,strong
shittydick,shit,bodily fluids / excrement,2,strong
shittydicks,shit,sexual anatomy / sexual acts,2,strong
shittyfuck,fuck,sexual anatomy / sexual acts,1.8,strong
shittyfuckface,fuck,sexual anatomy / sexual acts,2.2,strong
shittyful,shit,bodily fluids / excrement,1.6,strong
shlong,shlong,sexual anatomy / sexual acts,1,mild
shmale,shemale,sexual orientation / gender,1.4,mild
shtfuk,shit,other / general insult,1.8,strong
shut the fuck up,fuck,other / general insult,2.2,strong
shylock,shylock,racial / ethnic slurs,1.6,strong
shytfeisterfuck,fuck,sexual anatomy / sexual acts,2.6,severe
sissy,sissy,sexual orientation / gender,1,mild
sixty-nine,69,sexual anatomy / sexual acts,1.2,mild
sk@nks,skank,sexual orientation / gender,1.6,strong
sk@nky,skank,sexual orientation / gender,1,mild
sk@nkz,skank,sexual orientation / gender,1.4,mild
skank,skank,sexual orientation / gender,1.8,strong
skanks,skank,sexual orientation / gender,1.2,mild
skanky,skank,sexual orientation / gender,1.4,mild
skankz,skank,sexual orientation / gender,1.6,strong
sl@nteye,slant eye,racial / ethnic slurs,3,severe
slag,slag,sexual orientation / gender,1.6,strong
slantard,retard,racial / ethnic slurs,2.8,severe
slanteye,slant eye,racial / ethnic slurs,3,severe
slanteye b1tch,bitch,racial / ethnic slurs,2.6,severe
slanteyes,slant eye,racial / ethnic slurs,3,severe
slanteyeshit,shit,bodily fluids / excrement,3,severe
slantfreak,slant eye,racial / ethnic slurs,2.6,severe
slanty,slant eye,racial / ethnic slurs,2.6,severe
slit,slit,sexual orientation / gender,1.6,strong
slut,slut,sexual orientation / gender,2,strong
slut hole,slut,sexual anatomy / sexual acts,2.4,strong
sluts,slut,sexual orientation / gender,1.6,strong
slutty,slut,sexual orientation / gender,1.8,strong
snatch,snatch,sexual anatomy / sexual acts,1,mild
snatch licker,snatch,sexual anatomy / sexual acts,2.8,severe
soab,bitch,other / general insult,1.6,strong
son o bitch,bitch,sexual orientation / gender,1.6,strong
son of a bitch,bitch,other / general insult,1.2,mild
son-of-a-bitch,bitch,sexual orientation / gender,1.2,mild
sonna bitch,bitch,sexual orientation / gender,1.2,mild
sonofabitch,bitch,other / general insult,1.4,mild
sonofbitches,bitch,sexual orientation / gender,1,mild
sons of b1tches,bitch,sexual orientation / gender,1.6,strong
sons of bitches,bitch,other / general insult,1.6,strong
sons-of-bitches,bitch,other / general insult,1.4,mild
sonz of bitchez,bitch,other / general insult,1.8,strong
soppy bollucks,bollocks,sexual anatomy / sexual acts,1.6,strong
spanking,spank,sexual anatomy / sexual acts,1,mild
sperm,sperm,bodily fluids / excrement,1,mild
sphincter,sphincter,sexual anatomy / sexual acts,1,mild
spic,spic,racial / ethnic slurs,3,severe
spicfuck,fuck,sexual anatomy / sexual acts,3,severe
spick,spic,racial / ethnic slurs,2.8,severe
spics,spic,racial / ethnic slurs,2.8,severe
spicshit,spic,bodily fluids / excrement,3,severe
spig,spic,racial / ethnic slurs,2.6,severe
spik,spic,racial / ethnic slurs,3,severe
spix,spic,racial / ethnic slurs,3,severe
spook,spook,racial / ethnic slurs,3,severe
spooks,spook,racial / ethnic slurs,2.6,severe
spunk,spunk,bodily fluids / excrement,1.2,mild
stfu,fuck,sexual anatomy / sexual acts,1.8,strong
stump chewer,stump chewer,sexual anatomy / sexual acts,1.4,mild
stupid fucker,fuck,sexual anatomy / sexual acts,2.4,strong
stupid hoe,hoe,sexual orientation / gender,2.4,strong
stupidasses,ass,sexual anatomy / sexual acts,1,mild
suck,suck,sexual anatomy / sexual acts,1,mild
suck my cock,cock,sexual anatomy / sexual acts,2.2,strong
suck my d,dick,sexual anatomy / sexual acts,1.8,strong
suck my dick,dick,sexual anatomy / sexual acts,2.2,strong
suck off,suck,sexual anatomy / sexual acts,1.8,strong
sum of a bitch,bitch,other / general insult,1.4,mild
sumbitch,bitch,sexual orientation / gender,1.6,strong
swine,swine,animal references,1,mild
swine fucker,fuck,sexual anatomy / sexual acts,2.8,severe
tacohead,tacohead,racial / ethnic slurs,2.4,strong
tadger,tadger,sexual anatomy / sexual acts,1.4,mild
taking the piss,taking the piss,bodily fluids / excrement,1,mild
tallywacker,tallywacker,sexual anatomy / sexual acts,1.2,mild
tar-baby,tar-baby,racial / ethnic slurs,2.6,severe
tard,retard,mental disability,2.8,severe
tard asses,ass,sexual anatomy / sexual acts,3,severe
tart,tart,mental disability,1.2,mild
throat yogurt,throat yogurt,bodily fluids / excrement,1.8,strong
throater,throater,sexual anatomy / sexual acts,2.4,strong
tickle the pickle,tickle the pickle,sexual anatomy / sexual acts,1.2,mild
timber nigger,nigger,racial / ethnic slurs,3,severe
tits,tit,sexual anatomy / sexual acts,1,mild
tongue fucker,fuck,sexual anatomy / sexual acts,2.4,strong
tongue fucking,fuck,sexual anatomy / sexual acts,2.8,severe
tosser,tosser,other / general insult,1.2,mild
tossing salad,tossing salad,sexual anatomy / sexual acts,1.8,strong
towelhead,towelhead,racial / ethnic slurs,3,severe
towelheads,towelhead,racial / ethnic slurs,3,severe
towelshithead,towelhead,racial / ethnic slurs,2.6,severe
tramp,tramp,sexual orientation / gender,1.6,strong
tranny,tranny,sexual orientation / gender,2.8,severe
transvestite,transvestite,sexual orientation / gender,2.4,strong
trashb1tch,bitch,sexual orientation / gender,1.8,strong
trashbitch,bitch,sexual orientation / gender,2,strong
trashbitches,bitch,sexual orientation / gender,1.4,mild
trashbitchez,bitch,sexual orientation / gender,1.2,mild
trashbtch,bitch,sexual orientation / gender,1.4,mild
trasherbitch,bitch,sexual orientation / gender,1.4,mild
trasherbitchs,bitch,sexual orientation / gender,1.2,mild
trashybitches,bitch,sexual orientation / gender,1.8,strong
trouser snake,trouser snake,sexual anatomy / sexual acts,1,mild
trousersnake,trousersnake,sexual anatomy / sexual acts,1.4,mild
turdcutter,turd,other / general insult,1.6,strong
turdhead,turd,bodily fluids / excrement,1.6,strong
tw@t,twat,sexual anatomy / sexual acts,1.8,strong
twa+,twat,sexual anatomy / sexual acts,1.2,mild
twat,twat,sexual anatomy / sexual acts,1.8,strong
twat waffle,twat,sexual anatomy / sexual acts,2,strong
twatface,twat,sexual anatomy / sexual acts,2.4,strong
twats,twat,sexual anatomy / sexual acts,1.6,strong
twatt,twat,sexual anatomy / sexual acts,1.6,strong
twattish,twat,sexual anatomy / sexual acts,1.6,strong
twatzilla,twat,sexual anatomy / sexual acts,2,strong
twink,twink,sexual orientation / gender,1.2,mild
upskirts,upskirt,sexual anatomy / sexual acts,1.4,mild
useless fucker,fuck,sexual anatomy / sexual acts,2.6,severe
vag,vagina,sexual anatomy / sexual acts,1.2,mild
vajayjay,vagina,sexual anatomy / sexual acts,1.2,mild
vulva,vulva,sexual anatomy / sexual acts,1,mild
w@nker,wank,sexual anatomy / sexual acts,1.2,mild
w@nkers,wank,sexual anatomy / sexual acts,1,mild
w4nk3r,wank,sexual anatomy / sexual acts,1.6,strong
w4nker,wank,sexual anatomy / sexual acts,1,mild
wang,wang,sexual anatomy / sexual acts,1.4,mild
wang wrangler,wang,sexual anatomy / sexual acts,2,strong
wank,wank,sexual anatomy / sexual acts,1,mild
wank off,wank,sexual anatomy / sexual acts,1,mild
wank3r,wank,sexual anatomy / sexual acts,1,mild
wank3rs,wank,sexual anatomy / sexual acts,1,mild
wankbastard,wank,sexual anatomy / sexual acts,1.8,strong
wanked,wank,sexual anatomy / sexual acts,1.2,mild
wanker,wank,sexual anatomy / sexual acts,1,mild
wankers,wank,sexual anatomy / sexual acts,1,mild
wankies,wank,sexual anatomy / sexual acts,1.6,strong
wanking,wank,sexual anatomy / sexual acts,1,mild
wanks,wank,sexual anatomy / sexual acts,1,mild
we1back,wetback,racial / ethnic slurs,2.6,severe
weenie,weenie,sexual anatomy / sexual acts,1,mild
weiner,weiner,sexual anatomy / sexual acts,1,mild
wet back,wetback,racial / ethnic slurs,2.8,severe
wetback,wetback,racial / ethnic slurs,3,severe
wetbacks,wetback,racial / ethnic slurs,2.6,severe
wh0r3,whore,sexual orientation / gender,2,strong
wh0re,whore,sexual orientation / gender,2,strong
whack off,whack off,sexual anatomy / sexual acts,1.2,mild
what the fuck,fuck,other / general insult,2.2,strong
whoar,whore,sexual orientation / gender,1.8,strong
whoars,whore,sexual orientation / gender,2,strong
whor3,whore,sexual orientation / gender,1.8,strong
whore,whore,sexual orientation / gender,1.8,strong
whores,whore,sexual orientation / gender,2,strong
wigger,nigger,racial / ethnic slurs,2.6,severe
willy-whacker,willy-whacker,sexual anatomy / sexual acts,1.8,strong
window licker,window licker,mental disability,1.8,strong
wise ass,ass,sexual anatomy / sexual acts,1,mild
wnker,wank,sexual anatomy / sexual acts,1,mild
wop,wop,racial / ethnic slurs,2.4,strong
wophead,wop,racial / ethnic slurs,2.2,strong
zip in the wire,zipperhead,racial / ethnic slurs,1.4,mild
zipperhead,zipperhead,racial / ethnic slurs,2.4,strong